Shelfmark,UV URL,Page Label,Date,Type
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.90v,"8,8,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.91r,"8,8,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.91v,"8,8,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.92r,"8,8,23",Meeting Minutes
,,,,
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.92v,"8,15,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.93r,"8,15,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.93v,"8,15,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.94r,"8,15,23",Meeting Minutes
,,,,
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.94v,"8,22,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.95r,"8,22,23",Meeting Minutes
